"createdAt","updatedAt","itemId","ingredientId"
"2023-09-26 06:21:56","2023-09-26 06:21:56","1","13"
"2023-09-26 06:21:56","2023-09-26 06:21:56","1","15"
"2023-09-26 06:21:56","2023-09-26 06:21:56","1","16"
"2023-09-26 06:21:56","2023-09-26 06:21:56","1","18"
"2023-09-26 06:23:20","2023-09-26 06:23:20","2","3"
"2023-09-26 06:23:20","2023-09-26 06:23:20","2","5"
"2023-09-26 06:23:20","2023-09-26 06:23:20","2","8"
"2023-09-26 06:28:24","2023-09-26 06:28:24","3","2"
"2023-09-26 06:28:24","2023-09-26 06:28:24","3","5"
"2023-09-26 06:30:33","2023-09-26 06:30:33","4","1"
"2023-09-26 06:30:33","2023-09-26 06:30:33","4","20"
"2023-09-26 06:30:33","2023-09-26 06:30:33","4","38"
"2023-09-26 17:56:18","2023-09-26 17:56:18","5","238"
"2023-09-26 17:56:18","2023-09-26 17:56:18","5","239"
"2024-03-13 13:26:48","2024-03-13 13:26:48","6","478"
"2024-03-13 13:26:48","2024-03-13 13:26:48","6","480"
"2024-03-13 13:26:48","2024-03-13 13:26:48","6","482"
"2024-02-23 12:57:19","2024-02-23 12:57:19","7","479"
"2024-02-23 12:57:19","2024-02-23 12:57:19","7","482"
"2023-09-27 05:19:25","2023-09-27 05:19:25","8","478"
"2023-09-27 05:19:25","2023-09-27 05:19:25","8","481"
"2023-09-27 05:19:25","2023-09-27 05:19:25","8","483"
"2023-09-27 05:19:25","2023-09-27 05:19:25","8","484"
"2023-09-27 05:20:37","2023-09-27 05:20:37","9","479"
"2024-03-29 10:06:12","2024-03-29 10:06:12","10","478"
"2024-03-29 10:06:12","2024-03-29 10:06:12","10","480"
"2024-03-29 10:06:12","2024-03-29 10:06:12","10","483"
"2024-03-29 10:06:12","2024-03-29 10:06:12","10","499"
"2024-03-29 10:06:12","2024-03-29 10:06:12","10","502"
"2023-09-27 05:24:27","2023-09-27 05:24:27","11","477"
"2023-09-27 05:24:27","2023-09-27 05:24:27","11","480"
"2023-09-27 05:24:27","2023-09-27 05:24:27","11","483"
"2023-09-27 05:24:27","2023-09-27 05:24:27","11","496"
"2023-09-27 05:24:27","2023-09-27 05:24:27","11","497"
"2023-09-27 05:24:27","2023-09-27 05:24:27","11","499"
"2024-01-18 18:34:15","2024-01-18 18:34:15","1147","4506"
"2024-01-18 18:34:15","2024-01-18 18:34:15","1147","4507"
"2024-01-18 18:34:15","2024-01-18 18:34:15","1147","4509"
"2024-01-18 18:34:15","2024-01-18 18:34:15","1147","4510"
"2024-03-14 01:08:52","2024-03-14 01:08:52","1209","5273"
"2024-03-14 01:10:12","2024-03-14 01:10:12","1210","5374"
"2024-03-06 14:12:24","2024-03-06 14:12:24","1370","5644"
"2024-03-06 14:12:24","2024-03-06 14:12:24","1370","17314"
"2024-03-06 14:12:24","2024-03-06 14:12:24","1370","17315"
"2024-04-03 13:50:40","2024-04-03 13:50:40","1424","5665"
"2024-04-03 13:50:40","2024-04-03 13:50:40","1424","17303"
"2024-04-03 13:50:40","2024-04-03 13:50:40","1424","17309"
"2024-04-03 13:52:33","2024-04-03 13:52:33","1434","5635"
"2024-04-03 13:52:46","2024-04-03 13:52:46","1435","5591"
"2024-04-03 13:52:46","2024-04-03 13:52:46","1435","5665"
"2024-04-03 13:52:46","2024-04-03 13:52:46","1435","17303"
"2024-04-03 13:52:46","2024-04-03 13:52:46","1435","17304"
"2024-04-03 13:52:46","2024-04-03 13:52:46","1435","17305"
