"id","itemImage","name","itemType","calories","description","portionSize","itemPrice","dietaryRestrictionType","dietaryRestrictions","extraDescription","srOrder","availability","isActive","isDeleted","createdAt","updatedAt","subcategoryId","name_ol","description_ol"
"1","public/11643612738/item/2023_9_26_6_21-1394079586646.jpeg","Tomato Soup",NULL,"210","Tasty and creamy tomato soup","1","180.00",NULL,NULL,NULL,"1","1","1","0","2023-09-26 06:21:56","2023-09-26 06:21:56","163",NULL,NULL
"2","public/11643612738/item/2023_9_26_6_23-tomatosoup.jpg","Manchow Soup",NULL,"150","Delicious Chinese Soup","1","200.00",NULL,NULL,NULL,"2","1","1","0","2023-09-26 06:23:20","2023-09-26 06:23:20","163",NULL,NULL
"3","public/11643612738/item/2023_9_26_6_28-paneermasala.jpg","paneer Tikka Masala",NULL,"260","kndfnasfnsfn
ljndfkadsn;fhaf
jndfkjadsfjl","2","300.00",NULL,NULL,NULL,"1","1","1","0","2023-09-26 06:28:24","2023-09-26 06:28:24","164",NULL,NULL
"4","public/11643612738/item/2023_9_26_6_30-khakra.jpg","Chicken Tandoori",NULL,"450","rosted chicken","2","500.00",NULL,NULL,NULL,"1","1","1","0","2023-09-26 06:30:33","2023-09-26 06:30:33","165",NULL,NULL
"5","public/49680419221/item/2023_9_26_17_37-image1.png","Test Item",NULL,,"Test Item Test Item
Test Item","1","100.00",NULL,NULL,NULL,"0","1","1","0","2023-09-26 17:36:39","2023-09-26 17:51:43",NULL,"Test Item","Test Item Test Item
Test Item"
"6","public/2360664868/item/2023_9_27_5_16-IMG480711200x900.jpg,public/02360664868/item/2024_3_13_13_26-image1.png","Tomato Soup1",NULL,"140","sdasdas","1","1,80",NULL,NULL,NULL,"1","1","1","0","2023-09-27 05:16:07","2024-03-14 14:10:09","166","मराठी भाषा विभाग नवीन प्रशासन भवन, ८ वा मजला, मादाम कामा मार्ग, हुतात्मा राजगुरु चौक, मंत्रालय","TEeeee"
"7",NULL,"Monchow Soup",NULL,"150","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s","1","250.00",NULL,NULL,NULL,"2","1","1","0","2023-09-27 05:17:13","2024-02-23 12:57:16","166","मराठी भाषा विभाग नवीन प्रशासन भवन, ८ वा मजला, मादाम कामा मार्ग, हुतात्मा राजगुरु चौक, मंत्रालय","मराठी भाषा विभाग नवीन प्रशासन भवन, ८ वा मजला, मादाम कामा मार्ग, हुतात्मा राजगुरु चौक, मंत्रालय"
"8","public/2360664868/item/2023_9_27_5_19-chickenclearsoup.jpg","Chicken Clear Soup1",NULL,"175",,"1","250.00",NULL,NULL,NULL,"1","1","1","0","2023-09-27 05:19:25","2024-03-08 08:39:34","167","मराठी भाषा विभाग नवीन प्रशासन भवन, ८ वा मजला, मादाम कामा मार्ग, हुतात्मा राजगुरु चौक, मंत्रालय","मराठी भाषा विभाग नवीन प्रशासन भवन, ८ वा मजला, मादाम कामा मार्ग, हुतात्मा राजगुरु चौक, मंत्रालयमराठी भाषा विभाग नवीन प्रशासन भवन, ८ वा मजला, मादाम कामा मार्ग, हुतात्मा राजगुरु चौक, मंत्रालय"
"9","public/2360664868/item/2023_9_27_5_20-stockphotobutterrotiisolatedoverarusticwoodenbackgroundselectivefocus1880497348.jpg","Roti",NULL,"10","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","1","10.00",NULL,NULL,NULL,"1","1","0","0","2023-09-27 05:20:37","2023-10-03 12:34:34","168","मराठी भाषा विभाग नवीन प्रशासन भवन, ८ वा मजला, मादाम कामा मार्ग, हुतात्मा राजगुरु चौक, मंत्रालय","मराठी भाषा विभाग नवीन प्रशासन भवन, ८ वा मजला, मादाम कामा मार्ग, हुतात्मा राजगुरु चौक, मंत्रालय"
"10","public/2360664868/item/2023_9_27_5_23-brwne.jpg","Brownee",NULL,"265","Lorem Ipsum is simply dummy text of the printing and typesetting industry. Lorem Ipsum has been the industry's standard dummy text ever since the 1500s, when an unknown printer took a galley of type and scrambled it to make a type specimen book.","2","400.00",NULL,NULL,NULL,"0","0","0","0","2023-09-27 05:23:48","2024-03-29 10:07:31",NULL,"हुतात्मा राजगुरु चौक","मराठी भाषा विभाग नवीन प्रशासन भवन, ८ वा मजला, मादाम कामा मार्ग, हुतात्मा राजगुरु चौक, मंत्रालय"
